Company,firm,year,mktcap,sharepr,bkvalue,opincome,sharesno,EPS,BVPS,tdebt,debteq,equity,avrgdebteq,dividends,div,retearnings,size,Q-ratio,EV,netprofit
INSIMBI,14,2015,156000000,0.6,87111000,40222000,260000000,0.1547,0.335042308,251412000,1.611615385,131163000,1.448786476,9663000,1,81492000,0,1.790818611,129762000,25781000
INSIMBI,14,2016,286000000,1.1,94616000,44388000,260000000,0.170723077,0.363907692,277543000,0.97043007,149789000,1.448786476,10632000,1,100251000,0,3.022744568,281392000,28830000
INSIMBI,14,2017,467400000,1.14,197866000,54433000,410000000,0.132763415,0.4826,510860000,1.092982456,311299000,1.448786476,10149000,1,116579000,0,2.362204724,472628000,29447000
ISA HOLDINGS,15,2010,115555555.8,0.6,41780000,17896000,192592593,0.092921538,0.216934615,14063000,0.121699038,47112000,0.10753304,4791000,1,29543000,0,2.765810335,76392555.8,14603000
ISA HOLDINGS,15,2011,150222222.5,0.78,38504000,18819000,192592593,0.097714038,0.199924615,11163000,0.074309911,43464000,0.10753304,11220000,1,31970000,0,3.901470563,112789222.5,13647000
ISA HOLDINGS,15,2012,148296296.6,0.77,42471000,18302000,192592593,0.095029615,0.2205225,5422000,0.036561938,47020000,0.10753304,11252000,1,33578000,0,3.491707203,105563296.6,12860000
ISA HOLDINGS,15,2013,107851852.1,0.56,39678000,13091000,192592593,0.0679725,0.206020384,7040000,0.065274725,43623000,0.10753304,12852000,1,30181000,0,2.718177632,83601852.08,9455000
ISA HOLDINGS,15,2014,119414815.1,0.7,34540000,16388000,170592593,0.096065132,0.20247069,16127000,0.135050245,37777000,0.10753304,9322000,1,33498000,0,3.457290536,115714815.1,12639000
ISA HOLDINGS,15,2015,143297778.1,0.84,49310000,18450000,170592593,0.10815241,0.289051237,27070000,0.188907325,51755000,0.10753304,0,0,48080000,0,2.906059179,121712778.1,14582000
ISA HOLDINGS,15,2016,194475556,1.14,58817000,23851000,170592593,0.139812635,0.344780503,23121000,0.118888977,60551000,0.10753304,7135000,1,58991000,0,3.306451468,175181556,19315000
ISA HOLDINGS,15,2017,272948148.8,1.6,79540000,43775000,170592593,0.256605514,0.466257055,32637000,0.119572161,80940000,0.10753304,9360000,1,79380000,0,3.431583465,236833148.8,29749000
KAP,16,2010,870170996.9,2.05,1298000000,194500000,424473657,0.458214537,3.057904722,1145500000,1.316407929,1364700000,1.634651865,2100000,1,396500000,1,0.67039368,1233470997,96100000
KAP,16,2011,1018736777,2.4,3816000000,872000000,424473657,2.054308873,8.989957179,6948000000,6.820211225,3999000000,1.634651865,2800000,1,527500000,1,0.266964564,1195436777,289000000
KAP,16,2012,6848156177,2.93,5500000000,1187000000,2337254668,0.507860789,2.353188155,8757000000,1.27873836,5683000000,1.634651865,4000000,1,-1405000000,1,1.245119305,10507156177,596000000
KAP,16,2013,8563585791,3.65,6096000000,1329000000,2346187888,0.566450797,2.598257382,8819000000,1.029825615,6301000000,1.634651865,158000000,1,-804000000,1,1.404787695,11777585791,707000000
KAP,16,2014,9971298524,4.25,6654000000,1458000000,2346187888,0.621433606,2.836089997,8698000000,0.87230364,6859000000,1.634651865,200000000,1,-261000000,1,1.498542008,12803298524,826000000
KAP,16,2015,15530225933,6.41,7411000000,1631000000,2422812158,0.673184669,3.05884217,7994000000,0.514738165,7930000000,1.634651865,304000000,1,443000000,1,2.095564152,17794225933,981000000
KAP,16,2016,18258203561,7.48,7951000000,1964000000,2440936305,0.804609279,3.257356607,10077000000,0.551916292,8862000000,1.634651865,385000000,1,1349000000,1,2.296340531,20524203561,1193000000
KAP,16,2017,22548828655,8.47,10097000000,2465000000,2662199369,0.925926145,3.792728718,15628000000,0.693073695,11348000000,1.634651865,479000000,1,2261000000,1,2.233220625,28690828655,1455000000
MASSMART,17,2010,30022830096,149,1496000000,1866700000,201495504,9.264226561,7.424483278,10697600000,0.356315509,3591800000,0.717827676,822400000,1,2861100000,1,20.0687367,29643330096,1211800000
MASSMART,17,2011,29665635902,138.7,1696300000,1366300000,213883460,6.388058244,7.930954549,14610100000,0.492492392,4564800000,0.717827676,822500000,1,2775600000,1,17.48843713,30153035902,1215900000
MASSMART,17,2012,36564551571,168.57,1970000000,1126100000,216910195,5.191549434,9.082099622,18104500000,0.495138029,4915300000,0.717827676,330300000,1,785800000,1,18.56068608,36077751571,722400000
MASSMART,17,2013,36466941983,168.12,2440800000,2152500000,216910195,9.923461643,11.25258313,20778300000,0.569784546,5369600000,0.717827676,913400000,1,3909900000,1,14.94056948,37092841983,1239100000
MASSMART,17,2014,32567710800,150,2568500000,2061700000,217118072,9.495754918,11.82996872,23379200000,0.717864395,5527200000,0.717827676,914000000,1,4048300000,1,12.67966159,33716610800,1137400000
MASSMART,17,2015,23207531378,106.88,2792000000,2150400000,217136334,9.903455402,12.85828101,24939200000,1.074616666,5791100000,0.717827676,958300000,1,4223400000,1,8.312153072,24829831378,1169200000
MASSMART,17,2016,26599200915,122.5,3024700000,2483400000,217136334,11.4370541,13.92995794,25699900000,0.966190679,6183700000,0.717827676,453200000,1,4672400000,1,8.793996401,28378400915,1322600000
MASSMART,17,2017,24223729421,111.56,3012500000,2737100000,217136334,12.60544447,13.87377204,25924700000,1.070219187,6391400000,0.717827676,689900000,1,5491400000,1,8.041072007,25775829421,1521700000
